Provincia;Municipio;Localidad;Código postal;Dirección;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Rótulo;Tipo venta;Rem.;Horario;
CORUÑA (A);MUROS;MUROS;15250;MUELLE PESQUERO S/N;-9.055969;42.776082;1.594;;1.469;665;;REPSOL;Mixto;OM;L-D: 24H;
CORUÑA (A);MUXÍA;MUXIA;15124;MUELLE PESQUERO, S/Nº;-9.214858;43.105804;;;;659;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);POBRA DO CARAMIÑAL (A);POBRA DO CARAMIÑAL;15940;MUELLE COMERCIAL S/N;-8.935417;42.609083;1.559;;1.459;729;;AVIA;Mixto;dm;L-D: 07:00-23:00;
CORUÑA (A);PORTO DO SON;PORTO DO SON;15970;MUELLE PESQUERO, S/Nº;-9.003469;42.726638;;;;719;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);PORTO DO SON;PORTOSIN;15999;MUELLE PESQUERO, S/Nº;-8.947358;42.760804;;;;659;;REPSOL;Mixto;OM;L-D: 24H;
CORUÑA (A);RIANXO;RIANXO;15920;PORTO DE RIANXO, S/N;-8.822417;42.647389;1.579;;1.489;750;;VALCARCE;Mixto;dm;L: 07:00-23:00;
CORUÑA (A);RIBEIRA;SANTA UXIA DE RIBEIRA;15960;MUELLE PESQUERO, S/Nº;-8.989025;42.56136;;;;639;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
CORUÑA (A);SADA;SADA;15160;AVENIDA DEL PUERTO, S/N;-8.248306;43.357556;1.6;;1.51;;;SADAMAR - GALP;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
CORUÑA (A);SADA;SADA;15160;MUELLE PESQUERO, S/Nº;-8.246525;43.362749;1.594;;1.493;664;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
GIPUZKOA;GETARIA;GETARIA;20808;MUELLE PESQUERO S/N;-2.127945;43.275584;;;;647;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
GIPUZKOA;HONDARRIBIA;HONDARRIBIA;20280;PASEO IRIBARREN, S/N;-1.790722;43.388361;;;;647;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
GIPUZKOA;PASAIA;PASAI DONIBANE;20110;MUELLE DONI-BANE S/N;-1.911389;43.32225;;;;647;;REPSOL;Suministro a pesqueros;OM;L-D: 08:00-13:00 y 15:00-17:00;
GIRONA;BLANES;BLANES;17300;ESPLANADA DEL PORT S/N;2.797889;41.675083;1.699;;1.569;;;CLUB VELA BLANES;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
GIRONA;ESCALA (L');ESCALA (L');17130;PORT LA CLOTA S/N;3.126222;42.119194;1.659;;1.519;;;CLUB NAUTIC L'ESCALA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
GIRONA;LLANÇÀ;LLANÇA;17490;MOLL JORDI CANAL;3.163361;42.373333;1.689;;1.549;;;CLUB NÀUTIC LLANÇÀ;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
GIRONA;PALAMÓS;PALAMOS;17230;MUELLE PESQUERO, S/N;3.125417;41.844667;;;;672;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
GIRONA;PORT DE LA SELVA (EL);PORT DE LA SELVA (EL);17489;LLOIA S/N;42.34;3.204;1.719;;1.589;;;NINGUNO;Suministro a barcos deportivos o de recreo;dm;L: 09:00-13:00 y 15:00-17:00;
GIRONA;ROSES;ROSES;17480;ZONA DE DIC ABRIC - PUERTO DEPORTIVO DE ROSES;42.2565;3.1769;1.639;;1.479;;;PETREM MAR;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
GIRONA;ROSES;ROSES;17480;MUELLE PESQUERO, S/Nº;3.17942;42.252791;;;;666;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
GIRONA;SANT FELIU DE GUÍXOLS;SANT FELIU DE GUIXOLS;17220;ZONA ESPORTIVA DEL PORT, S/Nº;3.030528;41.773889;1.6;;1.5;;;CLUB NAUTIC SANT FELIU DE GUIXOLS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
GIRONA;SELVA DE MAR (LA);SELVA DE MAR (LA) NUCLI;17489;MUELLE PESQUERO, S/Nº;3.200253;42.340846;;;;706;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
GIRONA;TORROELLA DE MONTGRÍ;TORROELLA DE MONTGRI;17258;ESPLANA DEL PORT S/N L'ESTARTIT;3.203972;42.052278;;;;969;;PETROL QUECHEN S.L.;Mixto;dm;X: 08:00-12:00; V: 08:00-12:00
GIRONA;TORROELLA DE MONTGRÍ;TORROELLA DE MONTGRI;17258;PASSEIG MARÍTIM, S/N;42.0533;3.2014;1.788;;1.619;;;CLUB NAUTIC ESTARTIT;Suministro a barcos deportivos o de recreo;dm;L: 08:00-17:45;
LUGO;BURELA;BURELA;27880;MUELLE PESQUERO, S/Nº;-7.254818;43.660537;;;;627;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
LUGO;RIBADEO;RIBADEO;27700;MUELLE PESQUERO, S/Nº;-7.038707;43.532759;;;;709;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
LUGO;VIVEIRO;CELEIRO;27863;MUELLE PESQUERO, S/Nº;-7.595929;43.67637;;;;644;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;PUERTO PESQUERO-DEPORTIVO;-4.61575;36.542333;1.79;;1.687;706;;REPSOL;Mixto;OM;L-D: 24H;
MÁLAGA;MANILVA;MANILVA;29691;PUERTO DEPORTIVO DE LA DUQUESA;36.364;-5.23;1.842;;1.732;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
MÁLAGA;MARBELLA;MARBELLA;29600;PUERTO DEPORTIVO MARBELLA;-4.889944;36.505833;1.629;;1.519;;;ENERPUS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
MÁLAGA;VÉLEZ-MÁLAGA;CALETA DE VELEZ;29751;PUERTO PESQUERO,S/Nº;-4.069361;36.747611;1.768;;1.675;696;;REPSOL;Mixto;OM;L-D: 24H;
MURCIA;ÁGUILAS;AGUILAS;30880;MUELLE PESQUERO, S/N;-1.57872;37.402935;;;;691;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
MURCIA;CARTAGENA;CARTAGENA;30202;MUELLE STA. LUCÍA, S/Nº;-0.975942;37.597657;;;;691;;REPSOL;Mixto;OM;L-D: 24H;
MURCIA;CARTAGENA;CARTAGENA;30202;PASEO ALFONSO XII;-0.981722;37.596583;1.529;;1.429;;;ROYMAGA PETROELOS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
MURCIA;CARTAGENA;CABO DE PALOS;30370;MUELLE DE LA SAL, S/Nº;-0.69872;37.630712;;;;731;;REPSOL;Mixto;OM;L-D: 24H;
MURCIA;MAZARRÓN;MAZARRON;30870;MUELLE PESQUERO, S/Nº;-1.255109;37.563768;;;;691;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
MURCIA;SAN JAVIER;SAN JAVIER;30370;PUERTO TOMAS MAESTRE S/N;-0.743194;37.747639;1.62;;1.41;;;PALUSOIL, S.L.U.;Mixto;dm;L: 08:30-18:30;
PALMAS (LAS);ARRECIFE;ARRECIFE;35509;AV. OLOF PALME, S/N;-13.537917;28.965028;1.191;;1.2;;;PETROL QUECHEN S.L.;Suministro a barcos deportivos o de recreo;dm;L: 08:15-19:30;
PALMAS (LAS);MOGÁN;MOGAN;35140;DIQUE SUR. PUERTO DE MOGAN;-15.764056;27.815861;1.239;;1.234;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 15:00-17:50;
PALMAS (LAS);PÁJARA;MORRO JABLE;35625;MUELLE DEPORTIVO S/N;-14.35875;28.048722;1.38;;1.173;;;H2GO REPSOL MORRO JABLE;Mixto;dm;L-D: 08:00-20:00;
PALMAS (LAS);PUERTO DEL ROSARIO;PUERTO DEL ROSARIO;35600;DARSENA PESQUERA S/N;-13.859889;28.495639;1.309;;1.173;;;REPSOL MUELLE CHICO;Mixto;dm;L-D: 08:00-20:00;
PALMAS (LAS);SAN BARTOLOMÉ DE TIRAJANA;SAN BARTOLOME TIRAJANA;35106;CARRETERA GC-500 S/N (ANTIGUA CTRA. C-812) URBANIZACION PASITO BLANCO (VARADERO);-15.621667;27.746944;1.236;;1.192;;;DISA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-18:00;
PALMAS (LAS);YAIZA;YAIZA;35570;C/ EL BERRUGO, 2;-13.816639;28.857111;1.189;;1.179;;;MARINA RUBICON;Suministro a barcos deportivos o de recreo;dm;L-D: 07:30-19:30;
PALMAS (LAS);YAIZA;PUERTO CALERO;35570;LOS PANTALANES S/N;-13.705333;28.915833;1.169;;1.158;;;MARINA PUERTO CALERO;Suministro a barcos deportivos o de recreo;dm;L-D: 08:15-19:45;
PONTEVEDRA;BAIONA;BAIONA;36300;RECINTO DEL PARADOR NACIONAL;-8.848459;42.120681;1.588;;1.513;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-22:00;
PONTEVEDRA;BUEU;BUEU;36930;MUELLE PESQUERO, S/Nº;-8.785126;42.329376;;;1.491;675;;REPSOL;Mixto;OM;L-D: 24H;
PONTEVEDRA;CAMBADOS;CAMBADOS;36630;MUELLE DE TRAGOVE, S/Nº;-8.828182;42.518542;;;;679;;REPSOL;Mixto;OM;L-D: 24H;
PONTEVEDRA;CANGAS;CANGAS;36940;PUERTO DE CANGAS, S/N;-8.782528;42.260472;1.569;;1.489;693;;COMBUSTIBLES PUERTO DE CANGAS;Mixto;dm;L-V: 08:30-14:00 y 16:00-18:00;
PONTEVEDRA;MOAÑA;MOAÑA;36950;MUELLE PESQUERO, S/Nº;-8.735126;42.274931;;;;665;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
PONTEVEDRA;SANXENXO;PORTONOVO;36970;MUELLE COMERCIAL, S/Nº;-8.817778;42.395833;;;1.491;679;;REPSOL;Mixto;OM;L-D: 24H;
PONTEVEDRA;VIGO;VIGO;36202;AVDA. DE BEIRAMAR, 61;-8.617904;42.296598;;;;595;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
PONTEVEDRA;VIGO;VIGO;36208;MUELLE DE REPARACIONES DE BOUZAS S/N;-8.743111;42.230861;1.7;;1.55;;;MARINA DAVILA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00;
PONTEVEDRA;VIGO;VIGO;36207;BAJADA A LA LAGOA S/N;-8.707083;42.256194;1.8;;1.7;;;REPSOL;Mixto;dm;L: 09:00-20:00;
PONTEVEDRA;VILANOVA DE AROUSA;VILANOVA DE AROUSA;36620;PUERTO DE VILANOVA S/N;-8.834611;42.564667;1.396;;1.249;799;;CARBURANTES PORTO DE VILANOVA;Mixto;dm;L-V: 08:00-15:00; S: 09:00-14:00
SANTA CRUZ DE TENERIFE;ADEJE;ADEJE;38670;PUERTO DEPORTIVO PUERTO COLON, EDF.CAPITANIA 1ª PLANTA;-16.737889;28.079333;1.295;;1.276;;;DISA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-17:45;
SANTA CRUZ DE TENERIFE;SAN SEBASTIÁN DE LA GOMERA;SAN SEBASTIAN DE LA GOMERA;38800;PUERTO DEPORTIVO, S/N;-17.107028;28.089583;1.569;;1.455;;;DISA;Mixto;dm;L-D: 08:00-18:00;
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE LA PALMA;SANTA CRUZ DE LA PALMA;38700;DARSENA DE EMBARCACIONES MENORES PUERTO SANTA CRUZ DE LA PALMA;-17.767333;28.679083;1.399;;1.338;;;SIN ROTULO;Suministro a barcos deportivos o de recreo;dm;L-S: 08:00-20:00; D: 08:00-15:30
TARRAGONA;CALAFELL;SEGUR DE CALAFELL;43882;Pº MARITIMO S/N;1.607556;41.186083;1.839;;1.696;;;PORT SEGUR CALAFELL, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00;
TARRAGONA;CAMBRILS;CAMBRILS;43850;PUERTO PESQUERO, S/Nº;1.061881;41.06275;;;;666;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
TARRAGONA;DELTEBRE;DELTEBRE;43580;ML PUERTO DELTEBRE;0.843167;40.717361;1.389;;1.359;;679;CARBURANTS DEL MONTSIÀ;Mixto;dm;L-D: 24H;
TARRAGONA;SANT CARLES DE LA RÀPITA;LA RÁPITA;43540;PUERTO, S/Nº;0.596881;40.613861;;;;666;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
TARRAGONA;TARRAGONA;TARRAGONA;43005;MUELLE DE REUS S/N;1.242194;41.106917;;;;;654;VILALTA CORPORACION S.A.;Suministro a pesqueros;dm;L-D: 24H;
TARRAGONA;TORREDEMBARRA;TORREDEMBARRA;43830;EDIFICIO CAPITANIA, S/N;41.142;1.4;1.672;;1.564;650;;LIBRE;Mixto;dm;L-D: 09:00-14:00 y 16:00-19:00;
TARRAGONA;VANDELLÒS I L'HOSPITALET DE L'INFANT;HOSPITALET DE L'INFANT;43890;MUELLE DR. CAPELLA S/N PUERTO DEPORTIVO;0.927694;40.988639;;1.631;1.482;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00;
VALENCIA / VALÈNCIA;OLIVA;OLIVA;46780;ALFONSO EL MAGNANIMO, 41;-0.094694;38.931639;1.519;;1.389;;;BP OIL;Suministro a barcos deportivos o de recreo;dm;L: 08:00-19:00;
VALENCIA / VALÈNCIA;POBLA DE FARNALS (LA);POBLA DE FARNALS (LA);46137;PLAZA CORTES VALENCIANAS S/N;-0.284167;39.560333;1.665;;1.565;;;POBLA MARINA;Suministro a barcos deportivos o de recreo;dm;L-D: 07:00-21:00;
VALENCIA / VALÈNCIA;VALENCIA;VALENCIA;46024;DIQUE NORTE, BOCANA DARSENA INTERIOR ;-0.312278;39.461306;1.659;;1.539;1029;;REPSOL ;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-18:00;
VALENCIA / VALÈNCIA;VALENCIA;VALENCIA;46024;CAMINO DE CANAL, 91 - CLUB NAUTICO DE VALENCIA;-0.330722;39.429917;1.659;;1.529;;1019;EXCLUSIVAS BAYMAR, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;